Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_20,SMA_50,RSI,Fetch_Time
2026-03-17 09:30:00+08:00,563.0,566.0,562.5,564.5,841566,0.0,0.0,,,,2026-03-17 14:44:52.492684
2026-03-17 09:31:00+08:00,564.5,565.5,563.5,565.5,210386,0.0,0.0,,,,2026-03-17 14:44:52.492684
2026-03-17 09:32:00+08:00,565.5,565.5,563.5,564.0,132700,0.0,0.0,,,,2026-03-17 14:44:52.492684
2026-03-17 09:33:00+08:00,563.5,564.5,563.0,564.5,155810,0.0,0.0,,,,2026-03-17 14:44:52.492684
2026-03-17 09:34:00+08:00,564.5,565.0,564.0,564.5,69800,0.0,0.0,,,,2026-03-17 14:44:52.492684
2026-03-17 09:35:00+08:00,564.5,565.5,562.0,562.5,303775,0.0,0.0,,,,2026-03-17 14:44:52.492684
2026-03-17 09:36:00+08:00,562.5,563.5,562.0,562.5,82986,0.0,0.0,,,,2026-03-17 14:44:52.492684
2026-03-17 09:37:00+08:00,563.0,563.5,561.0,561.5,132346,0.0,0.0,,,,2026-03-17 14:44:52.492684
2026-03-17 09:38:00+08:00,561.5,561.5,559.5,560.0,101706,0.0,0.0,,,,2026-03-17 14:44:52.492684
2026-03-17 09:39:00+08:00,560.0,560.5,559.5,560.0,44219,0.0,0.0,,,,2026-03-17 14:44:52.492684
2026-03-17 09:40:00+08:00,560.0,560.0,559.0,559.0,44229,0.0,0.0,,,,2026-03-17 14:44:52.492684
2026-03-17 09:41:00+08:00,559.0,560.0,558.5,559.0,171800,0.0,0.0,,,,2026-03-17 14:44:52.492684
2026-03-17 09:42:00+08:00,559.0,561.5,559.0,559.5,146500,0.0,0.0,,,,2026-03-17 14:44:52.492684
2026-03-17 09:43:00+08:00,560.0,560.5,559.0,560.0,90700,0.0,0.0,,,26.31578947368422,2026-03-17 14:44:52.492684
2026-03-17 09:44:00+08:00,560.0,561.5,560.0,561.5,52694,0.0,0.0,,,36.36363636363636,2026-03-17 14:44:52.492684
2026-03-17 09:45:00+08:00,561.0,561.5,560.5,561.0,82446,0.0,0.0,,,28.57142857142857,2026-03-17 14:44:52.492684
2026-03-17 09:46:00+08:00,560.5,562.0,560.5,561.5,90100,0.0,0.0,,,36.8421052631579,2026-03-17 14:44:52.492684
2026-03-17 09:47:00+08:00,562.0,562.5,561.5,562.5,32200,0.0,0.0,,,39.99999999999999,2026-03-17 14:44:52.492684
2026-03-17 09:48:00+08:00,562.5,563.0,562.0,562.5,45480,0.0,0.0,,,39.99999999999999,2026-03-17 14:44:52.492684
2026-03-17 09:49:00+08:00,562.5,563.0,561.5,561.5,43800,0.0,0.0,561.875,,44.444444444444436,2026-03-17 14:44:52.492684
2026-03-17 09:50:00+08:00,562.0,562.5,561.5,562.0,37600,0.0,0.0,561.75,,47.368421052631575,2026-03-17 14:44:52.492684
2026-03-17 09:51:00+08:00,562.5,563.0,562.0,562.0,79300,0.0,0.0,561.575,,52.94117647058823,2026-03-17 14:44:52.492684
2026-03-17 09:52:00+08:00,562.5,562.5,562.0,562.0,46017,0.0,0.0,561.475,,64.28571428571428,2026-03-17 14:44:52.492684
2026-03-17 09:53:00+08:00,562.5,563.0,562.0,563.0,65168,0.0,0.0,561.4,,68.75,2026-03-17 14:44:52.492684
2026-03-17 09:54:00+08:00,562.5,563.5,562.5,563.5,114956,0.0,0.0,561.35,,80.0,2026-03-17 14:44:52.492684
2026-03-17 09:55:00+08:00,563.0,563.5,562.5,562.5,53850,0.0,0.0,561.35,,70.58823529411765,2026-03-17 14:44:52.492684
2026-03-17 09:56:00+08:00,563.0,563.0,562.0,562.0,48144,0.0,0.0,561.325,,64.70588235294119,2026-03-17 14:44:52.492684
2026-03-17 09:57:00+08:00,562.0,563.0,561.5,561.5,74231,0.0,0.0,561.325,,58.82352941176471,2026-03-17 14:44:52.492684
2026-03-17 09:58:00+08:00,562.5,562.5,561.0,561.0,62849,0.0,0.0,561.375,,46.666666666666664,2026-03-17 14:44:52.492684
2026-03-17 09:59:00+08:00,561.0,561.5,560.0,560.0,70891,0.0,0.0,561.375,,43.75,2026-03-17 14:44:52.492684
2026-03-17 10:00:00+08:00,560.5,560.5,559.0,559.0,132905,0.0,0.0,561.375,,35.294117647058826,2026-03-17 14:44:52.492684
2026-03-17 10:01:00+08:00,559.5,560.0,559.0,560.0,31800,0.0,0.0,561.425,,35.294117647058826,2026-03-17 14:44:52.492684
2026-03-17 10:02:00+08:00,560.0,560.5,559.5,560.5,88000,0.0,0.0,561.475,,38.888888888888886,2026-03-17 14:44:52.492684
2026-03-17 10:03:00+08:00,560.5,561.0,560.0,561.0,66700,0.0,0.0,561.525,,47.05882352941176,2026-03-17 14:44:52.492684
2026-03-17 10:04:00+08:00,561.0,561.5,560.5,560.5,49200,0.0,0.0,561.475,,41.17647058823529,2026-03-17 14:44:52.492684
2026-03-17 10:05:00+08:00,560.5,561.0,560.0,560.5,50808,0.0,0.0,561.45,,41.17647058823529,2026-03-17 14:44:52.492684
2026-03-17 10:06:00+08:00,560.0,560.5,559.5,559.5,94500,0.0,0.0,561.35,,36.8421052631579,2026-03-17 14:44:52.492684
2026-03-17 10:07:00+08:00,560.0,560.5,559.5,560.0,74400,0.0,0.0,561.225,,33.33333333333333,2026-03-17 14:44:52.492684
2026-03-17 10:08:00+08:00,560.0,561.0,560.0,561.0,73041,0.0,0.0,561.15,,36.8421052631579,2026-03-17 14:44:52.492684
2026-03-17 10:09:00+08:00,560.5,561.0,560.0,560.0,52805,0.0,0.0,561.075,,36.8421052631579,2026-03-17 14:44:52.492684
2026-03-17 10:10:00+08:00,560.0,561.0,560.0,561.0,120300,0.0,0.0,561.025,,45.00000000000001,2026-03-17 14:44:52.492684
2026-03-17 10:11:00+08:00,560.5,561.5,560.5,560.5,118300,0.0,0.0,560.95,,45.00000000000001,2026-03-17 14:44:52.492684
2026-03-17 10:12:00+08:00,560.5,561.0,560.5,560.5,18000,0.0,0.0,560.875,,47.368421052631575,2026-03-17 14:44:52.492684
2026-03-17 10:13:00+08:00,561.0,561.0,559.5,560.5,94000,0.0,0.0,560.75,,52.94117647058823,2026-03-17 14:44:52.492684
2026-03-17 10:14:00+08:00,560.5,561.5,560.5,561.5,68403,0.0,0.0,560.65,,64.70588235294119,2026-03-17 14:44:52.492684
2026-03-17 10:15:00+08:00,561.0,561.5,561.0,561.0,78400,0.0,0.0,560.575,,56.25,2026-03-17 14:44:52.492684
2026-03-17 10:16:00+08:00,561.0,561.5,560.0,560.5,91900,0.0,0.0,560.5,,50.0,2026-03-17 14:44:52.492684
2026-03-17 10:17:00+08:00,560.5,561.5,560.0,561.0,73800,0.0,0.0,560.475,,50.0,2026-03-17 14:44:52.492684
2026-03-17 10:18:00+08:00,561.0,561.0,560.0,560.5,82104,0.0,0.0,560.45,,50.0,2026-03-17 14:44:52.492684
2026-03-17 10:19:00+08:00,561.0,562.0,560.5,561.0,72303,0.0,0.0,560.5,561.34,52.94117647058823,2026-03-17 14:44:52.492684
2026-03-17 10:20:00+08:00,561.0,561.5,561.0,561.0,25700,0.0,0.0,560.6,561.27,60.0,2026-03-17 14:44:52.492684
2026-03-17 10:21:00+08:00,561.0,561.5,560.5,560.5,76401,0.0,0.0,560.625,561.17,53.33333333333333,2026-03-17 14:44:52.492684
2026-03-17 10:22:00+08:00,561.0,561.0,560.0,560.0,68769,0.0,0.0,560.6,561.09,42.857142857142854,2026-03-17 14:44:52.492684
2026-03-17 10:23:00+08:00,560.0,561.0,560.0,560.5,28500,0.0,0.0,560.575,561.01,53.846153846153854,2026-03-17 14:44:52.492684
2026-03-17 10:24:00+08:00,560.5,561.0,560.0,560.5,92900,0.0,0.0,560.575,560.93,45.45454545454546,2026-03-17 14:44:52.492684
2026-03-17 10:25:00+08:00,560.5,561.0,560.0,560.0,39743,0.0,0.0,560.55,560.88,45.45454545454546,2026-03-17 14:44:52.492684
2026-03-17 10:26:00+08:00,560.0,560.5,559.0,559.5,124159,0.0,0.0,560.55,560.82,41.66666666666667,2026-03-17 14:44:52.492684
2026-03-17 10:27:00+08:00,559.5,560.0,559.0,559.5,35600,0.0,0.0,560.525,560.78,41.66666666666667,2026-03-17 14:44:52.492684
2026-03-17 10:28:00+08:00,559.5,560.0,559.0,559.0,78720,0.0,0.0,560.425,560.76,27.272727272727266,2026-03-17 14:44:52.492684
2026-03-17 10:29:00+08:00,559.0,560.5,559.0,560.0,131500,0.0,0.0,560.425,560.76,41.66666666666667,2026-03-17 14:44:52.492684
2026-03-17 10:30:00+08:00,560.5,561.0,559.5,560.0,55723,0.0,0.0,560.375,560.78,45.45454545454546,2026-03-17 14:44:52.492684
2026-03-17 10:31:00+08:00,560.5,560.5,559.5,559.5,29900,0.0,0.0,560.325,560.79,36.36363636363636,2026-03-17 14:44:52.492684
2026-03-17 10:32:00+08:00,560.0,560.0,559.5,559.5,16000,0.0,0.0,560.275,560.79,39.99999999999999,2026-03-17 14:44:52.492684
2026-03-17 10:33:00+08:00,560.0,560.0,559.5,559.5,43150,0.0,0.0,560.225,560.78,33.33333333333333,2026-03-17 14:44:52.492684
2026-03-17 10:34:00+08:00,559.5,560.0,558.5,558.5,188002,0.0,0.0,560.075,560.72,27.272727272727266,2026-03-17 14:44:52.492684
2026-03-17 10:35:00+08:00,558.5,559.0,557.0,558.0,124340,0.0,0.0,559.925,560.66,27.272727272727266,2026-03-17 14:44:52.492684
2026-03-17 10:36:00+08:00,557.5,559.0,557.5,557.5,147603,0.0,0.0,559.775,560.58,27.272727272727266,2026-03-17 14:44:52.492684
2026-03-17 10:37:00+08:00,557.5,558.5,557.5,558.0,47100,0.0,0.0,559.625,560.49,27.272727272727266,2026-03-17 14:44:52.492684
2026-03-17 10:38:00+08:00,558.0,559.5,558.0,559.0,42200,0.0,0.0,559.55,560.42,38.46153846153846,2026-03-17 14:44:52.492684
2026-03-17 10:39:00+08:00,559.5,559.5,559.0,559.0,31600,0.0,0.0,559.45,560.37,41.66666666666667,2026-03-17 14:44:52.492684
2026-03-17 10:40:00+08:00,559.5,560.0,559.0,560.0,42200,0.0,0.0,559.4,560.33,53.846153846153854,2026-03-17 14:44:52.492684
2026-03-17 10:41:00+08:00,559.5,560.5,559.5,559.5,27000,0.0,0.0,559.35,560.28,50.0,2026-03-17 14:44:52.492684
2026-03-17 10:42:00+08:00,560.0,560.0,558.5,559.5,93000,0.0,0.0,559.325,560.23,53.846153846153854,2026-03-17 14:44:52.492684
2026-03-17 10:43:00+08:00,559.5,560.5,559.0,560.5,41400,0.0,0.0,559.325,560.18,53.846153846153854,2026-03-17 14:44:52.492684
2026-03-17 10:44:00+08:00,560.5,561.5,560.0,561.0,56700,0.0,0.0,559.35,560.13,57.14285714285714,2026-03-17 14:44:52.492684
2026-03-17 10:45:00+08:00,560.5,561.0,560.0,560.5,56700,0.0,0.0,559.375,560.09,57.14285714285714,2026-03-17 14:44:52.492684
2026-03-17 10:46:00+08:00,560.0,560.5,560.0,560.5,17300,0.0,0.0,559.425,560.06,57.14285714285714,2026-03-17 14:44:52.492684
2026-03-17 10:47:00+08:00,560.0,560.5,560.0,560.0,17961,0.0,0.0,559.45,560.03,53.33333333333333,2026-03-17 14:44:52.492684
2026-03-17 10:48:00+08:00,560.5,560.5,559.5,560.0,50600,0.0,0.0,559.5,560.01,61.53846153846153,2026-03-17 14:44:52.492684
2026-03-17 10:49:00+08:00,560.0,560.5,560.0,560.5,33500,0.0,0.0,559.525,560.02,69.23076923076923,2026-03-17 14:44:52.492684
2026-03-17 10:50:00+08:00,560.0,560.5,559.0,559.5,52901,0.0,0.0,559.5,560.03,64.28571428571428,2026-03-17 14:44:52.492684
2026-03-17 10:51:00+08:00,559.0,560.0,559.0,559.5,17400,0.0,0.0,559.5,560.02,61.53846153846153,2026-03-17 14:44:52.492684
2026-03-17 10:52:00+08:00,559.5,559.5,558.5,559.0,44432,0.0,0.0,559.475,559.99,50.0,2026-03-17 14:44:52.492684
2026-03-17 10:53:00+08:00,558.5,559.0,558.5,558.5,28800,0.0,0.0,559.425,559.94,46.15384615384615,2026-03-17 14:44:52.492684
2026-03-17 10:54:00+08:00,558.5,559.5,558.5,558.5,17200,0.0,0.0,559.425,559.9,36.36363636363636,2026-03-17 14:44:52.492684
2026-03-17 10:55:00+08:00,558.5,559.0,558.5,559.0,13900,0.0,0.0,559.475,559.87,45.45454545454546,2026-03-17 14:44:52.492684
2026-03-17 10:56:00+08:00,559.0,560.0,558.5,559.5,43500,0.0,0.0,559.575,559.87,50.0,2026-03-17 14:44:52.492684
2026-03-17 10:57:00+08:00,559.5,560.0,559.0,559.5,29556,0.0,0.0,559.65,559.86,39.99999999999999,2026-03-17 14:44:52.492684
2026-03-17 10:58:00+08:00,559.5,560.0,559.5,559.5,9728,0.0,0.0,559.675,559.83,33.33333333333333,2026-03-17 14:44:52.492684
2026-03-17 10:59:00+08:00,559.5,560.0,559.0,559.0,29300,0.0,0.0,559.675,559.81,33.33333333333333,2026-03-17 14:44:52.492684
2026-03-17 11:00:00+08:00,559.0,559.0,558.5,558.5,42110,0.0,0.0,559.6,559.76,30.0,2026-03-17 14:44:52.492684
2026-03-17 11:01:00+08:00,559.0,559.0,558.5,558.5,22125,0.0,0.0,559.55,559.72,33.33333333333333,2026-03-17 14:44:52.492684
2026-03-17 11:02:00+08:00,558.5,559.0,558.5,559.0,38400,0.0,0.0,559.525,559.69,39.99999999999999,2026-03-17 14:44:52.492684
2026-03-17 11:03:00+08:00,559.0,559.0,558.0,558.0,37794,0.0,0.0,559.4,559.64,27.272727272727266,2026-03-17 14:44:52.492684
2026-03-17 11:04:00+08:00,558.5,558.5,557.0,557.0,81766,0.0,0.0,559.2,559.55,27.272727272727266,2026-03-17 14:44:52.492684
2026-03-17 11:05:00+08:00,557.5,558.0,557.0,558.0,62200,0.0,0.0,559.075,559.49,38.46153846153846,2026-03-17 14:44:52.492684
2026-03-17 11:06:00+08:00,557.5,558.0,557.5,558.0,13700,0.0,0.0,558.95,559.44,41.66666666666667,2026-03-17 14:44:52.492684
2026-03-17 11:07:00+08:00,557.5,558.0,556.5,557.0,155130,0.0,0.0,558.8,559.36,38.46153846153846,2026-03-17 14:44:52.492684
2026-03-17 11:08:00+08:00,557.0,557.5,556.5,557.0,49802,0.0,0.0,558.65,559.29,38.46153846153846,2026-03-17 14:44:52.492684
2026-03-17 11:09:00+08:00,556.5,558.0,556.5,558.0,61400,0.0,0.0,558.525,559.23,42.857142857142854,2026-03-17 14:44:52.492684
2026-03-17 11:10:00+08:00,557.5,558.5,557.5,558.0,40700,0.0,0.0,558.45,559.17,38.46153846153846,2026-03-17 14:44:52.492684
2026-03-17 11:11:00+08:00,558.5,558.5,558.0,558.0,12968,0.0,0.0,558.375,559.12,38.46153846153846,2026-03-17 14:44:52.492684
2026-03-17 11:12:00+08:00,558.0,559.0,557.5,559.0,52600,0.0,0.0,558.375,559.1,46.666666666666664,2026-03-17 14:44:52.492684
2026-03-17 11:13:00+08:00,559.0,559.0,558.5,558.5,12600,0.0,0.0,558.375,559.06,46.666666666666664,2026-03-17 14:44:52.492684
2026-03-17 11:14:00+08:00,559.0,559.0,558.0,558.0,22980,0.0,0.0,558.35,559.01,46.666666666666664,2026-03-17 14:44:52.492684
2026-03-17 11:15:00+08:00,558.0,559.0,558.0,559.0,70300,0.0,0.0,558.35,558.99,52.94117647058823,2026-03-17 14:44:52.492684
2026-03-17 11:16:00+08:00,559.0,559.5,558.5,559.0,13900,0.0,0.0,558.325,558.98,50.0,2026-03-17 14:44:52.492684
2026-03-17 11:17:00+08:00,559.5,559.5,558.5,559.0,37300,0.0,0.0,558.3,558.97,57.14285714285714,2026-03-17 14:44:52.492684
2026-03-17 11:18:00+08:00,559.0,559.5,559.0,559.5,11200,0.0,0.0,558.3,558.98,69.23076923076923,2026-03-17 14:44:52.492684
2026-03-17 11:19:00+08:00,559.0,559.5,558.5,559.0,25000,0.0,0.0,558.3,558.96,58.33333333333333,2026-03-17 14:44:52.492684
2026-03-17 11:20:00+08:00,559.0,559.0,558.5,558.5,15000,0.0,0.0,558.3,558.93,53.846153846153854,2026-03-17 14:44:52.492684
2026-03-17 11:21:00+08:00,558.5,559.0,558.5,559.0,8700,0.0,0.0,558.325,558.92,66.66666666666666,2026-03-17 14:44:52.492684
2026-03-17 11:22:00+08:00,559.0,559.0,558.5,558.5,8600,0.0,0.0,558.3,558.9,61.53846153846153,2026-03-17 14:44:52.492684
2026-03-17 11:23:00+08:00,559.0,559.0,558.0,558.0,33800,0.0,0.0,558.3,558.87,50.0,2026-03-17 14:44:52.492684
2026-03-17 11:24:00+08:00,558.0,558.5,557.5,557.5,30100,0.0,0.0,558.325,558.85,46.15384615384615,2026-03-17 14:44:52.492684
2026-03-17 11:25:00+08:00,558.0,558.0,557.5,557.5,15600,0.0,0.0,558.3,558.84,46.15384615384615,2026-03-17 14:44:52.492684
